definition,signal_column,bucket,count,avg_forward_return_1w,median_forward_return_1w,win_rate_1w,avg_forward_return_2w,median_forward_return_2w,win_rate_2w,avg_forward_return_4w,median_forward_return_4w,win_rate_4w,avg_forward_return_8w,median_forward_return_8w,win_rate_8w,best_return_8w,worst_return_8w
52W percentile,mm_net_percentile_52w,0-10,187,-0.005168832751535861,-0.0060862510417227,0.3850267379679144,-0.010403968513407602,-0.0117963779472305,0.31016042780748665,-0.01683565679080843,-0.0179753244228689,0.27807486631016043,-0.018504576133742116,-0.0353147587360592,0.22994652406417113,0.2490795911429133,-0.1417529499061852
52W percentile,mm_net_percentile_52w,10-20,94,0.0008647421997489593,0.0009673827689119,0.5212765957446809,-5.316175778635266e-05,0.000315474047081,0.5,-0.0032453484343888997,-0.0018523649749461997,0.5,-0.004795541820877783,-0.00656210288017165,0.43617021276595747,0.1395668030900503,-0.1288602339440093
52W percentile,mm_net_percentile_52w,20-30,68,0.0029431401583512374,0.0056274531480161,0.6029411764705882,0.0003442910643361627,0.00019404377418100004,0.5,0.0003416759039443029,-0.0066257439457246495,0.4411764705882353,0.0018586651034328897,-0.0069991714942205,0.47058823529411764,0.2133711803970932,-0.1351957658134761
52W percentile,mm_net_percentile_52w,30-40,55,0.0012687483957385397,0.003205918618989,0.509090909090909,0.006434061792542005,0.0079057578214081,0.6,0.007458126435274262,0.0042521876235552,0.5454545454545454,0.009232287487688059,-0.0012057635852626,0.4727272727272727,0.141108139777025,-0.0729007190778094
52W percentile,mm_net_percentile_52w,40-50,55,0.004825212038593295,0.0052060392895232,0.7090909090909091,0.01062172224004139,0.0126662166217497,0.7090909090909091,0.017675383770787968,0.0154481215794093,0.7090909090909091,0.02615464116143623,0.0119877334820184,0.5818181818181818,0.2078951875901724,-0.0721954831543872
52W percentile,mm_net_percentile_52w,50-60,67,0.0028907392038667844,0.0018703320627813,0.582089552238806,0.008245663115048516,0.0036122265061968,0.5970149253731343,0.01687695090303794,0.0176147340088128,0.6716417910447762,0.030168454296085848,0.0138201251680609,0.6567164179104478,0.2391145624670039,-0.054338127640679
52W percentile,mm_net_percentile_52w,60-70,50,0.0036287798529639004,0.004991285032293,0.64,0.005646192194063867,0.006819396681991,0.6,0.015366837542198053,0.017743676065103,0.64,0.025323933511891928,0.02705913445910355,0.66,0.1529107531785656,-0.0549767541377892
52W percentile,mm_net_percentile_52w,70-80,44,0.004107677594255842,0.00245064887912275,0.5681818181818182,0.007699073258902095,0.003669408224758,0.5681818181818182,0.01414584384743743,0.0073704542696909,0.5454545454545454,0.022397898703454492,0.01656563375948945,0.5681818181818182,0.1277635936010763,-0.056232198578584
52W percentile,mm_net_percentile_52w,80-90,66,0.0019732951503825587,0.0045592413844908995,0.5757575757575758,0.0033906143675263615,0.00568759954909385,0.5454545454545454,0.006340700615949937,0.0047070845890396,0.5606060606060606,0.02166165340052836,0.0167954169117153,0.6363636363636364,0.1220812337652681,-0.0473878031008554
52W percentile,mm_net_percentile_52w,90-100,136,0.00857705004917185,0.00928506529851055,0.6691176470588235,0.01899463505510889,0.01881632523141505,0.7720588235294118,0.03822281098055698,0.039959241489928396,0.8897058823529411,0.06269295862215059,0.06364286095739255,0.9632352941176471,0.1791862139719482,-0.0348419136384723
104W percentile,mm_net_percentile_104w,0-10,179,-0.005408743686673255,-0.0063986625273325,0.39664804469273746,-0.012000527109098904,-0.0114281514465771,0.31843575418994413,-0.023025229000530778,-0.0217517963635204,0.2737430167597765,-0.0349367610707525,-0.0380505062612815,0.16201117318435754,0.1797898651000311,-0.1417529499061852
104W percentile,mm_net_percentile_104w,10-20,83,0.0015967418763341294,0.0026048998509347,0.5180722891566265,0.0009670463689774065,-0.0015227145407245,0.4939759036144578,-0.000439033567547646,-0.0048136898696299,0.4457831325301205,-0.0006822305990361769,-0.0137828101132274,0.40963855421686746,0.2133711803970932,-0.1351957658134761
104W percentile,mm_net_percentile_104w,20-30,75,-0.002542302348955181,0.001102596600188,0.56,-0.0003032301193117528,-0.0005454731908584,0.4533333333333333,0.0027554763583307468,8.056050438165485e-05,0.5066666666666667,0.010671224675111323,-0.0026774847372951,0.49333333333333335,0.2490795911429133,-0.0887388077850833
104W percentile,mm_net_percentile_104w,30-40,70,0.0034827223243190193,0.0055091365065006,0.6142857142857143,0.005520896133426887,0.0070023046899461,0.6714285714285714,0.012570279865566766,0.006475531954451,0.5714285714285714,0.0247697058761507,0.00800359386463195,0.5571428571428572,0.2078951875901724,-0.1159048295679646
104W percentile,mm_net_percentile_104w,40-50,75,0.006943811971524615,0.0043513492458198,0.6133333333333333,0.013769279546390631,0.0110890002251384,0.6266666666666667,0.021297716404803022,0.0098185019918006,0.6533333333333333,0.034702894849139874,0.0191930995171674,0.6133333333333333,0.1971957200753258,-0.0825666986236302
104W percentile,mm_net_percentile_104w,50-60,59,0.004809104818864621,0.0062464869893334,0.6271186440677966,0.00913775508211422,0.0098159373039248,0.6440677966101694,0.016478548532744407,0.01760521803508,0.6610169491525424,0.034844579303887215,0.0306280693061455,0.7288135593220338,0.2391145624670039,-0.061912675820092
104W percentile,mm_net_percentile_104w,60-70,61,0.00608558752519934,0.0051645322389239,0.6065573770491803,0.010198397039380545,0.0037549520057,0.6065573770491803,0.01794429325033481,0.0123038221914557,0.6229508196721312,0.023811751258817355,0.0212848293861911,0.6557377049180327,0.1529107531785656,-0.086658135831047
104W percentile,mm_net_percentile_104w,70-80,54,0.0009399968263729219,-0.00087348208113325,0.48148148148148145,0.004527871908327201,0.0027490680747985,0.6111111111111112,0.016268520066394947,0.016399616289962747,0.6851851851851852,0.028094804248726058,0.02863355809150965,0.7222222222222222,0.1173974313335461,-0.0721954831543872
104W percentile,mm_net_percentile_104w,80-90,59,0.0024723077037502117,0.0067600702422212,0.6271186440677966,0.0068332721717589305,0.006699346374859,0.576271186440678,0.01858598831152292,0.017869839115914,0.6779661016949152,0.041517763246694116,0.0435407862315371,0.7457627118644068,0.1408568443760893,-0.0542942129737676
104W percentile,mm_net_percentile_104w,90-100,107,0.008530240843463988,0.0098623255087815,0.6728971962616822,0.017327429267148368,0.0199862365930252,0.7383177570093458,0.03292230639912405,0.0350784556852803,0.8411214953271028,0.056904563710529245,0.0598549408219859,0.9158878504672897,0.1791862139719482,-0.0348419136384723
156W percentile,mm_net_percentile_156w,0-10,168,-0.0039505434455669956,-0.00420967266655755,0.42857142857142855,-0.010710451338499072,-0.0099407324604957,0.3392857142857143,-0.022504965791991516,-0.020661818923407002,0.2857142857142857,-0.03824370292813263,-0.03628329492724345,0.16071428571428573,0.1175306215943337,-0.1417529499061852
156W percentile,mm_net_percentile_156w,10-20,77,-0.004545692516197099,-0.0028766531739515,0.4675324675324675,-0.004420480993944587,-0.0094364783745215,0.4155844155844156,-0.006599687973341095,-0.011567501949674,0.4155844155844156,-0.0051473728838843024,-0.0109181325383133,0.4025974025974026,0.1423287258562418,-0.1339790371346169
156W percentile,mm_net_percentile_156w,20-30,77,0.00192256737152857,0.0038331394481616,0.5844155844155844,0.002721047371130845,0.0053088942976191,0.5844155844155844,0.005434239121250051,0.0024670728421993,0.5194805194805194,0.011144395679827078,-0.0026774847372951,0.4675324675324675,0.1797898651000311,-0.1288602339440093
156W percentile,mm_net_percentile_156w,30-40,81,0.0008240581781449541,0.0020111368133146,0.5308641975308642,0.003567819853674564,0.0047186156944762,0.5555555555555556,0.006899799094396294,0.0069494752209595,0.5679012345679012,0.012544256438230903,-0.0007323069245241,0.48148148148148145,0.2078951875901724,-0.1159048295679646
156W percentile,mm_net_percentile_156w,40-50,76,0.006371516952639838,0.004601817170492651,0.5921052631578947,0.006855296533178946,5.047161423900001e-05,0.5,0.012550366617703992,0.00407234190737865,0.5526315789473685,0.033995559307210564,0.0198902660781348,0.5789473684210527,0.2490795911429133,-0.0825666986236302
156W percentile,mm_net_percentile_156w,50-60,68,0.0035097682566625045,0.0048095464515733495,0.5882352941176471,0.009818864917997728,0.010346676812115301,0.7205882352941176,0.024274776007751405,0.02277686900990055,0.6764705882352942,0.04201422500332774,0.037060702086791755,0.8088235294117647,0.2391145624670039,-0.0681564440654928
