factor,sample_split,gold_regime,forward_horizon,percentile_bucket,count,avg_forward_return,median_forward_return,win_rate,max_drawdown_after_signal
producer_net_percentile_156w,all,bull,1W,60-70 percentile,52,0.005631722514999495,0.005549386042249527,0.5961538461538461,-0.05470318951103592
producer_net_percentile_156w,all,bull,1W,70-80 percentile,24,0.002690846592942192,0.0037199252058885968,0.5833333333333334,-0.03252582928082792
producer_net_percentile_156w,all,bull,1W,80-90 percentile,32,-0.0010877192152374746,0.0042084470327126144,0.5625,-0.21969518766939888
producer_net_percentile_156w,all,bull,1W,90-100 percentile,39,0.0006443480592718065,-0.0025108445766375276,0.46153846153846156,-0.12031597586732656
producer_net_percentile_156w,all,bull,2W,0-10 percentile,59,0.005081472711204331,0.002931679988718683,0.5423728813559322,-0.060829326789522464
producer_net_percentile_156w,all,bull,2W,10-20 percentile,35,0.014718742512787486,0.016518287317305758,0.6285714285714286,-0.048254193694034275
producer_net_percentile_156w,all,bull,2W,20-30 percentile,30,0.01093938232719001,0.007035835491098652,0.5333333333333333,-0.05071641191914644
producer_net_percentile_156w,all,bull,2W,30-40 percentile,43,0.01649731941779707,0.010686687990684396,0.7209302325581395,-0.05349203288269
producer_net_percentile_156w,all,bull,2W,40-50 percentile,33,0.004146126161763639,0.012009842519302705,0.6363636363636364,-0.1062216467438084
producer_net_percentile_156w,all,bull,2W,50-60 percentile,40,0.009749434349849045,0.00509732303369681,0.625,-0.08222955854959046
producer_net_percentile_156w,all,bull,2W,60-70 percentile,52,0.006803624402364558,0.004932477819254655,0.5961538461538461,-0.08913377570526215
producer_net_percentile_156w,all,bull,2W,70-80 percentile,24,0.012648819202550043,0.015685151444654988,0.7083333333333334,-0.043354956081193996
producer_net_percentile_156w,all,bull,2W,80-90 percentile,32,-0.001727152546689259,-0.002483310197688604,0.5,-0.21969518766939888
producer_net_percentile_156w,all,bull,2W,90-100 percentile,38,-0.0032416434836618374,0.004712202770861373,0.5526315789473685,-0.21969518766939888
producer_net_percentile_156w,all,bull,4W,0-10 percentile,59,0.011860638337375023,0.007365636086595018,0.6779661016949152,-0.06469545520130882
producer_net_percentile_156w,all,bull,4W,10-20 percentile,35,0.022907618406406958,0.02706411627772365,0.6857142857142857,-0.24182065122572693
producer_net_percentile_156w,all,bull,4W,20-30 percentile,30,0.015628642077649423,0.00400184688208316,0.5333333333333333,-0.05071641191914644
producer_net_percentile_156w,all,bull,4W,30-40 percentile,43,0.025691684771880618,0.024031857493324482,0.6744186046511628,-0.11727902345840291
producer_net_percentile_156w,all,bull,4W,40-50 percentile,33,0.024694497142753635,0.022795275257313063,0.7575757575757576,-0.11610471424735846
producer_net_percentile_156w,all,bull,4W,50-60 percentile,40,0.01744975432042113,0.01596363737909212,0.65,-0.2267298547176011
producer_net_percentile_156w,all,bull,4W,60-70 percentile,52,0.01185605062100409,0.012821709753951138,0.6153846153846154,-0.09627568673982723
producer_net_percentile_156w,all,bull,4W,70-80 percentile,24,0.01467870341034233,0.011176230971533085,0.625,-0.06205077743683152
producer_net_percentile_156w,all,bull,4W,80-90 percentile,32,0.0034194370485290428,-0.005899672930804956,0.46875,-0.2284381274149232
producer_net_percentile_156w,all,bull,4W,90-100 percentile,36,0.00019571641326915666,-0.0007618731249498523,0.5,-0.22258981448457094
producer_net_percentile_156w,all,bull,8W,0-10 percentile,59,0.021019138039200268,0.0190595015006505,0.6101694915254238,-0.06545725613777309
producer_net_percentile_156w,all,bull,8W,10-20 percentile,35,0.02830080695994706,0.054997584558553525,0.7428571428571429,-0.31196189601223423
producer_net_percentile_156w,all,bull,8W,20-30 percentile,30,0.03802083494957964,0.03484559465990322,0.6333333333333333,-0.2503156858043756
producer_net_percentile_156w,all,bull,8W,30-40 percentile,43,0.040436634183467685,0.05426299229974174,0.6511627906976745,-0.24463320119208787
producer_net_percentile_156w,all,bull,8W,40-50 percentile,33,0.05798456632040514,0.058487836654577574,0.8787878787878788,-0.11610471424735846
producer_net_percentile_156w,all,bull,8W,50-60 percentile,40,0.03496822505111943,0.03930522851046958,0.675,-0.29826719035465854
producer_net_percentile_156w,all,bull,8W,60-70 percentile,52,0.02887925434444037,0.029788172297286808,0.6538461538461539,-0.15878546754349454
producer_net_percentile_156w,all,bull,8W,70-80 percentile,24,0.020560632486525097,0.00893513088945086,0.625,-0.06205077743683152
producer_net_percentile_156w,all,bull,8W,80-90 percentile,32,0.028350021487776152,0.03664959630355691,0.65625,-0.29188331959128944
producer_net_percentile_156w,all,bull,8W,90-100 percentile,32,0.0026580808687713987,0.021785506833957746,0.59375,-0.29188331959128944
swap_net_percentile_156w,all,bull,1W,0-10 percentile,124,0.004134149201210948,0.00538979540983564,0.5967741935483871,-0.08222955854959046
swap_net_percentile_156w,all,bull,1W,10-20 percentile,54,0.0025573846239190213,0.0012094625030090178,0.5185185185185185,-0.04625944405286975
swap_net_percentile_156w,all,bull,1W,20-30 percentile,47,0.004981313706633863,0.009713464737375999,0.6382978723404256,-0.05119879076312228
swap_net_percentile_156w,all,bull,1W,30-40 percentile,29,0.005470930225282395,0.005687520910003352,0.6896551724137931,-0.03468566515453497
swap_net_percentile_156w,all,bull,1W,40-50 percentile,21,0.014798486601546004,0.013395031130009505,0.7619047619047619,-0.037669248680079814
swap_net_percentile_156w,all,bull,1W,50-60 percentile,31,-0.013745608493664843,-0.007187224628940836,0.3548387096774194,-0.21969518766939888
swap_net_percentile_156w,all,bull,1W,60-70 percentile,26,0.00975921232371889,0.007578151727146043,0.6923076923076923,-0.022095159955581645
swap_net_percentile_156w,all,bull,1W,70-80 percentile,17,0.0023132818613759154,-0.0022752077969467877,0.4117647058823529,-0.05213784689605472
swap_net_percentile_156w,all,bull,1W,80-90 percentile,12,0.010470140278579723,0.01562561968595133,0.75,-0.02616762473260037
swap_net_percentile_156w,all,bull,1W,90-100 percentile,26,0.003627852436365563,0.006643619309243287,0.5769230769230769,-0.08635005098425519
swap_net_percentile_156w,all,bull,2W,0-10 percentile,124,0.007471637342398136,0.0054340250044031535,0.5887096774193549,-0.08913377570526215
swap_net_percentile_156w,all,bull,2W,10-20 percentile,54,0.005138996756848087,0.0018451758450770406,0.5555555555555556,-0.060829326789522464
swap_net_percentile_156w,all,bull,2W,20-30 percentile,47,0.016734914447147198,0.014007614951097258,0.6382978723404256,-0.05119879076312228
swap_net_percentile_156w,all,bull,2W,30-40 percentile,29,0.010372530655609124,0.004226228111748664,0.6551724137931034,-0.03468566515453497
swap_net_percentile_156w,all,bull,2W,40-50 percentile,21,0.019462636192658693,0.010865066866126094,0.7142857142857143,-0.05071641191914644
swap_net_percentile_156w,all,bull,2W,50-60 percentile,30,-0.02036010300286731,-0.0018720245877065778,0.4666666666666667,-0.21969518766939888
