rank,date,gold_close,similarity_score,distance,normalized_distance,mm_net_percentile_156w,producer_net_percentile_156w,oi_percentile_156w,gold_return_1w,gold_return_2w,gold_return_4w,gold_return_8w,diff_mm_net_percentile_156w_points,diff_producer_net_percentile_156w_points,diff_oi_percentile_156w_points,forward_return_1w,forward_return_2w,forward_return_4w,forward_return_8w,sample_split,gold_regime,gold_anomaly_2025_2026
1,2023-06-27,1914.0,98.07692307692308,5.7692307692307665,1.9230769230769222,0.4487179487179487,0.9294871794871796,0.0384615384615384,-0.0111082407646603,-0.0157358716291853,-0.0224719101123596,-0.0497939961260872,1.9230769230769273,0.6410256410256387,3.2051282051282,0.004022962994709944,0.009038687997975359,0.02513060375440812,-0.009195389543331989,test_2019_2026,bull,False
2,2023-06-13,1944.5999755859373,97.22222222222221,8.33333333333335,2.777777777777783,0.4743589743589743,0.9166666666666666,0.0384615384615384,-0.0106334390303041,-0.0068437305485509,-0.0220277852999082,-0.0312842722249422,4.487179487179488,0.641025641025661,3.2051282051282,-0.004679613133901861,-0.015735871629185327,-0.0068394152652423434,-0.010542013914107473,test_2019_2026,bull,False
3,2023-08-08,1924.0999755859373,96.15384615384615,11.538461538461553,3.8461538461538507,0.3461538461538461,0.9166666666666666,0.032051282051282,-0.0085536023102973,-0.0193670049807997,-0.0037280966500035,-0.0105420139141074,8.333333333333332,0.641025641025661,2.56410256410256,-0.01122601520711497,-0.01439631595205415,0.001091406690184149,-0.051712489612032675,test_2019_2026,range,False
4,2023-06-20,1935.5,95.51282051282051,13.46153846153846,4.487179487179486,0.4871794871794871,0.9230769230769232,0.0833333333333333,-0.0046796131339018,-0.0152632917832612,-0.0187081849307035,-0.0293380140421263,5.769230769230771,0.0,7.69230769230769,-0.011108240764660327,-0.007129965811482841,0.02154479523217523,-0.01704985791785063,test_2019_2026,bull,False
5,2014-04-08,1308.699951171875,95.2991452991453,14.102564102564116,4.7008547008547055,0.4230769230769231,0.7948717948717948,0.0128205128205128,0.0227414630674811,-0.0020589241969809,-0.0280728175478091,0.014417468365186,0.6410256410256332,12.820512820512842,0.64102564102564,-0.00664778138341382,-0.02147167160874075,-0.00030557221568772164,-0.04920906605527353,train_2009_2018,range,False
6,2023-02-07,1871.699951171875,94.65811965811966,16.025641025641026,5.3418803418803416,0.3269230769230769,0.9102564102564102,0.0512820512820512,-0.0299559724426664,-0.0321630241775465,5.341717634199661e-05,0.0318650013671417,10.256410256410248,1.2820512820512997,4.487179487179479,-0.009456617852019011,-0.020676364899002597,-0.030880978931277836,0.08040818717004905,test_2019_2026,range,False
7,2014-04-15,1300.0,94.65811965811966,16.025641025641033,5.341880341880344,0.358974358974359,0.8525641025641025,0.0256410256410256,-0.0066477813834138,0.0159425014092557,-0.0434142752023546,-0.0186456949364455,7.051282051282043,7.051282051282071,1.9230769230769198,-0.014923095703125,-0.003076923076923088,-0.004153864933894247,-0.030923039362980798,train_2009_2018,range,False
8,2014-04-22,1280.5999755859375,94.44444444444444,16.666666666666668,5.555555555555556,0.3846153846153846,0.8333333333333334,0.0384615384615384,-0.014923095703125,-0.0214716716087407,-0.0234863872614967,-0.0464631603976638,4.487179487179482,8.974358974358987,3.2051282051282,0.012025632287722132,0.02163054331584946,0.010854306324426188,-0.006949886446772968,train_2009_2018,range,False
9,2014-04-01,1279.5999755859375,94.44444444444443,16.666666666666693,5.555555555555564,0.4615384615384615,0.7884615384615384,0.0064102564102564,-0.0242489310935718,-0.0584253306946743,-0.0435043138869437,0.0222897064012359,3.2051282051282106,13.461538461538481,0.0,0.02274146306748115,0.015942501409255794,0.012816524481842784,-0.01109717993341841,train_2009_2018,range,False
10,2013-10-08,1324.199951171875,93.37606837606837,19.871794871794872,6.623931623931624,0.2371794871794871,0.9294871794871796,0.0064102564102564,0.0297044721398715,0.0062309659360753,-0.0292500734023719,0.0022706631175235,19.230769230769234,0.6410256410256387,0.0,-0.03866481880365924,0.013819702086478758,-0.012233765117978246,-0.07740522865092292,train_2009_2018,bear,False
