date,gold_close
2024-07-02,2323.0
2024-07-09,2360.10009765625
2024-07-16,2462.39990234375
2024-07-23,2404.60009765625
2024-07-30,2405.0
2024-08-06,2389.10009765625
2024-08-13,2466.699951171875
2024-08-20,2511.300048828125
2024-08-27,2516.0
2024-09-03,2489.89990234375
2024-09-10,2512.300048828125
2024-09-17,2564.300048828125
2024-09-24,2651.199951171875
2024-10-01,2667.300048828125
2024-10-08,2615.0
2024-10-15,2661.39990234375
2024-10-22,2744.199951171875
2024-10-29,2768.39990234375
2024-11-05,2740.300048828125
2024-11-12,2600.0
2024-11-19,2627.10009765625
2024-11-26,2620.300048828125
2024-12-03,2644.699951171875
2024-12-10,2697.60009765625
2024-12-17,2644.39990234375
2024-12-24,2620.0
2024-12-31,2629.199951171875
2025-01-07,2656.699951171875
2025-01-14,2677.5
2025-01-21,2755.0
2025-01-28,2766.800048828125
2025-02-04,2853.300048828125
2025-02-11,2912.5
2025-02-18,2931.60009765625
2025-02-25,2904.5
2025-03-04,2909.60009765625
2025-03-11,2912.89990234375
2025-03-18,3035.10009765625
2025-03-25,3023.699951171875
2025-04-01,3118.89990234375
2025-04-08,2968.39990234375
2025-04-15,3218.699951171875
2025-04-22,3400.800048828125
2025-04-29,3318.800048828125
2025-05-06,3411.39990234375
2025-05-13,3240.300048828125
2025-05-20,3280.300048828125
2025-05-27,3299.10009765625
2025-06-03,3350.199951171875
2025-06-10,3320.89990234375
2025-06-17,3386.60009765625
2025-06-24,3317.39990234375
2025-07-01,3336.699951171875
2025-07-08,3307.0
2025-07-15,3329.800048828125
2025-07-22,3439.199951171875
2025-07-29,3323.39990234375
2025-08-05,3381.89990234375
2025-08-12,3348.89990234375
2025-08-19,3313.39990234375
2025-08-26,3388.60009765625
2025-09-02,3549.39990234375
2025-09-09,3643.300048828125
2025-09-16,3688.89990234375
2025-09-23,3780.60009765625
2025-09-30,3840.800048828125
2025-10-07,3976.60009765625
2025-10-14,4138.7001953125
2025-10-21,4087.699951171875
2025-10-28,3966.199951171875
2025-11-04,3947.699951171875
2025-11-10,4111.7998046875
2025-11-18,4061.300048828125
2025-11-25,4139.2001953125
2025-12-02,4186.60009765625
2025-12-09,4206.7001953125
2025-12-16,4304.5
2025-12-23,4482.7998046875
2025-12-30,4370.10009765625
2026-01-06,4482.2001953125
2026-01-13,4589.2001953125
2026-01-20,4759.60009765625
2026-01-27,5079.89990234375
2026-02-03,4903.7001953125
2026-02-10,5003.7998046875
2026-02-17,4882.89990234375
2026-02-24,5155.7998046875
2026-03-03,5107.39990234375
2026-03-10,5229.7001953125
2026-03-17,5001.0
2026-03-24,4399.2998046875
2026-03-31,4647.60009765625
2026-04-07,4657.10009765625
2026-04-14,4825.0
2026-04-21,4698.39990234375
2026-04-28,4591.5
2026-05-05,4555.7998046875
2026-05-12,4677.60009765625
2026-05-19,4506.2998046875
2026-05-26,4500.39990234375
