feature_group,window,feature_name,bucket,count,avg_forward_return_1w,median_forward_return_1w,win_rate_1w,avg_forward_return_2w,median_forward_return_2w,win_rate_2w,avg_forward_return_4w,median_forward_return_4w,win_rate_4w,avg_forward_return_8w,median_forward_return_8w,win_rate_8w,best_return_8w,worst_return_8w
long,2W,mm_long_velocity_2w,<= -40,12,-0.011056313177069442,-0.009814045934086149,0.25,-0.034174906486545135,-0.0377515944127026,0.0,-0.037853948376976504,-0.03655211419080265,0.08333333333333333,-0.022389175179283557,-0.0169072762377269,0.16666666666666666,0.0718576845815901,-0.1127336639223639
long,2W,mm_long_velocity_2w,-40 to -20,68,-0.007057863001627811,-0.00830013645075015,0.3382352941176471,-0.016993052472828143,-0.0186075005809088,0.19117647058823528,-0.0058725533258431216,-0.0159303111137708,0.27941176470588236,0.023336260439771248,0.0001977943327974,0.5,0.2490795911429133,-0.083966437335314
long,2W,mm_long_velocity_2w,-20 to 0,332,-0.0053361531803567935,-0.00629132543596085,0.39457831325301207,-0.009997065978968623,-0.01055489696089015,0.27710843373493976,-0.004767644475791599,-0.006679704634584199,0.4246987951807229,0.0021980069666803527,-0.00976975286318525,0.4307228915662651,0.2133711803970932,-0.1417529499061852
long,2W,mm_long_velocity_2w,0 to 20,375,0.007830971837863734,0.0078292803893604,0.6853333333333333,0.016075922794125678,0.0164267004730378,0.792,0.016710523379839016,0.0196123518267767,0.6853333333333333,0.023380472285396033,0.0201752803475543,0.6293333333333333,0.2391145624670039,-0.1351957658134761
long,2W,mm_long_velocity_2w,20 to 40,47,0.01612336717056671,0.0166973118393871,0.9148936170212766,0.029009944377614404,0.027211364912423,0.9787234042553191,0.037395436132101424,0.0392548803554864,0.8936170212765957,0.03072570963954628,0.0314045705687573,0.723404255319149,0.1343851961281903,-0.050246538037223
long,2W,mm_long_velocity_2w,>= 40,18,0.01745561557222248,0.013750054782913551,0.8888888888888888,0.03790752443703516,0.0369906919607714,0.9444444444444444,0.04589071811614064,0.041311061510944394,0.9444444444444444,0.041027108404658084,0.0361928750994192,0.9444444444444444,0.1277635936010763,-0.0255491880204128
long,4W,mm_long_velocity_4w,<= -40,43,-0.00943615920870934,-0.0110576268350474,0.27906976744186046,-0.014856475312533361,-0.013538282408812,0.23255813953488372,-0.029008736871466368,-0.0357468802415209,0.16279069767441862,0.0011942274816959912,-0.0125482229274327,0.3488372093023256,0.2078951875901724,-0.1127336639223639
long,4W,mm_long_velocity_4w,-40 to -20,78,-0.0014712686464788888,-0.004893896417734,0.41025641025641024,-0.008162766927877093,-0.01402976861219625,0.3076923076923077,-0.01306102982248052,-0.02145440586575435,0.2564102564102564,0.012532504667637322,-0.0078269786025585,0.4230769230769231,0.2490795911429133,-0.083966437335314
long,4W,mm_long_velocity_4w,-20 to 0,315,-0.001976625917208634,-0.0009239633610459,0.4793650793650794,-0.0048691714251351235,-0.0052672616810104,0.40634920634920635,-0.00843873316924069,-0.00927966619482,0.35873015873015873,0.003394342157431848,-0.0058035617449437,0.45714285714285713,0.2133711803970932,-0.1417529499061852
long,4W,mm_long_velocity_4w,0 to 20,296,0.005009377792164301,0.0051423902601248,0.6317567567567568,0.011000059665287993,0.0117347339734037,0.6722972972972973,0.019805510376946393,0.02127304960953775,0.7601351351351351,0.01935804128419941,0.01824832892815395,0.6081081081081081,0.175924517683228,-0.1351957658134761
