mm_lifecycle_state,count,avg_forward_return_1w,median_forward_return_1w,win_rate_1w,avg_forward_return_2w,median_forward_return_2w,win_rate_2w,avg_forward_return_4w,median_forward_return_4w,win_rate_4w,avg_forward_return_8w,median_forward_return_8w,win_rate_8w,best_return_8w,worst_return_8w
MM_RESET,209,-0.006037410875993096,-0.0064346342476363,0.36363636363636365,-0.011558554905879696,-0.0115099446811518,0.32057416267942584,-0.02047576094269161,-0.0190912213958298,0.2583732057416268,-0.03279467434251882,-0.0337078249159986,0.1339712918660287,0.1797898651000311,-0.1417529499061852
MM_ACCUMULATION,135,0.003433759978727982,0.0049637266132112,0.6814814814814815,0.005854666597901107,0.0100066715215201,0.6222222222222222,0.005610288599390175,0.0138322658253506,0.6148148148148148,0.009939661924341972,0.0118960115742503,0.5925925925925926,0.1423287258562418,-0.1351957658134761
MM_EXPANSION,148,0.006170503587052826,0.005953204254527901,0.6351351351351351,0.013052687834287409,0.0119997689348203,0.6756756756756757,0.025458817690267806,0.02478800455312185,0.7162162162162162,0.044610514011683235,0.038354426847400855,0.8108108108108109,0.2391145624670039,-0.0911684847340194
MM_CROWDED_EXPANSION,106,0.00839223118734807,0.009395114039590199,0.6698113207547169,0.01724742685756122,0.019019727469177003,0.7641509433962265,0.03674267208117932,0.0345372980339051,0.8867924528301887,0.0608284129447445,0.061625805849576845,0.9528301886792453,0.1791862139719482,-0.0348419136384723
MM_DISTRIBUTION,212,0.0012505750863413372,0.00161633548497645,0.5188679245283019,0.002373140366148053,-0.00052457038111195,0.49056603773584906,0.006265828819135515,0.0007188027324979499,0.5094339622641509,0.017799784230348028,0.0028941915623026,0.5094339622641509,0.2490795911429133,-0.1159048295679646
MM_NEUTRAL,68,0.006407464993389655,0.0091542410020211,0.6716417910447762,0.011032903905670082,0.0167387627041186,0.6363636363636364,0.019468168123449887,0.02948573197305335,0.71875,0.03629263897216052,0.031609752156488403,0.6666666666666666,0.1735978538438134,-0.0843965918041352
