mm_feature,gold_horizon,lag_weeks,correlation,rank_correlation,sample_count,interpretation
mm_velocity_8w,4W,8,-0.0847526015626048,-0.0704721870634156,809,weak_or_no_clear_historical_relationship
mm_velocity_8w,8W,-8,-0.2710908317114532,-0.28964395313170344,817,gold_or_later_mm_alignment_8w_negative_historical_alignment
mm_velocity_8w,8W,-4,0.026448258400406575,0.055754200694424216,817,weak_or_no_clear_historical_relationship
mm_velocity_8w,8W,-2,0.23257310258703,0.2742510307457258,817,gold_or_later_mm_alignment_2w_positive_historical_alignment
mm_velocity_8w,8W,0,0.4320162589353776,0.48390335144102714,817,same_week_positive_historical_alignment
mm_velocity_8w,8W,2,0.35933461141288175,0.4093775182944347,815,mm_feature_leads_gold_2w_positive_historical_alignment
mm_velocity_8w,8W,4,0.24923388841263996,0.28522364901192543,813,mm_feature_leads_gold_4w_positive_historical_alignment
mm_velocity_8w,8W,8,-0.07124959040089934,-0.042841196697076006,809,weak_or_no_clear_historical_relationship
mm_velocity_12w,1W,-8,0.08673672243874354,0.0973550647716936,813,weak_or_no_clear_historical_relationship
mm_velocity_12w,1W,-4,0.13180118148342326,0.1443016731893418,813,gold_or_later_mm_alignment_4w_positive_historical_alignment
mm_velocity_12w,1W,-2,0.178253235145751,0.20940850982442227,813,gold_or_later_mm_alignment_2w_positive_historical_alignment
mm_velocity_12w,1W,0,0.11405528785995955,0.15757987458432415,813,same_week_positive_historical_alignment
mm_velocity_12w,1W,2,-0.04662643352500089,-0.03354730700045216,811,weak_or_no_clear_historical_relationship
mm_velocity_12w,1W,4,-0.039222670677421564,-0.05004240178656077,809,weak_or_no_clear_historical_relationship
mm_velocity_12w,1W,8,-0.032446840301828324,-0.055260903323492705,805,weak_or_no_clear_historical_relationship
mm_velocity_12w,2W,-8,0.12793274498580665,0.14696809276811024,813,gold_or_later_mm_alignment_8w_positive_historical_alignment
mm_velocity_12w,2W,-4,0.1683314930021555,0.1723661283781056,813,gold_or_later_mm_alignment_4w_positive_historical_alignment
mm_velocity_12w,2W,-2,0.25340115017188986,0.27531014954181837,813,gold_or_later_mm_alignment_2w_positive_historical_alignment
mm_velocity_12w,2W,0,0.2035200968477828,0.24783525081385774,813,same_week_positive_historical_alignment
mm_velocity_12w,2W,2,-0.06969456373471641,-0.06450514402352603,811,weak_or_no_clear_historical_relationship
mm_velocity_12w,2W,4,-0.06487680225198271,-0.07500396764399268,809,weak_or_no_clear_historical_relationship
mm_velocity_12w,2W,8,-0.04266496652803602,-0.06069157783744805,805,weak_or_no_clear_historical_relationship
mm_velocity_12w,4W,-8,0.16252861046182407,0.17318941498405735,813,gold_or_later_mm_alignment_8w_positive_historical_alignment
mm_velocity_12w,4W,-4,0.19996993417761583,0.20283488996752844,813,gold_or_later_mm_alignment_4w_positive_historical_alignment
mm_velocity_12w,4W,-2,0.30067861778025756,0.3136666252179485,813,gold_or_later_mm_alignment_2w_positive_historical_alignment
mm_velocity_12w,4W,0,0.3268496553049029,0.3682853617268648,813,same_week_positive_historical_alignment
mm_velocity_12w,4W,2,0.09668021464038169,0.12731873616258232,811,mm_feature_leads_gold_2w_positive_historical_alignment
mm_velocity_12w,4W,4,-0.09559111393121787,-0.08266730489104364,809,weak_or_no_clear_historical_relationship
mm_velocity_12w,4W,8,-0.052370732622247396,-0.06422950947558774,805,weak_or_no_clear_historical_relationship
mm_velocity_12w,8W,-8,-0.07777441169266525,-0.06224140085666894,813,weak_or_no_clear_historical_relationship
mm_velocity_12w,8W,-4,0.2568441851969702,0.2821756613136062,813,gold_or_later_mm_alignment_4w_positive_historical_alignment
mm_velocity_12w,8W,-2,0.33497742991485535,0.37719240856143,813,gold_or_later_mm_alignment_2w_positive_historical_alignment
mm_velocity_12w,8W,0,0.3741316877549467,0.4252561941477995,813,same_week_positive_historical_alignment
mm_velocity_12w,8W,2,0.28463281886709035,0.319151615101908,811,mm_feature_leads_gold_2w_positive_historical_alignment
mm_velocity_12w,8W,4,0.16662129149607066,0.1995138087311196,809,mm_feature_leads_gold_4w_positive_historical_alignment
mm_velocity_12w,8W,8,-0.1078943914759986,-0.09540042893130823,805,weak_or_no_clear_historical_relationship
mm_velocity_26w,1W,-8,0.040874646279881736,0.04904410629521064,799,weak_or_no_clear_historical_relationship
mm_velocity_26w,1W,-4,0.10432703329864543,0.10057967937433311,799,gold_or_later_mm_alignment_4w_positive_historical_alignment
mm_velocity_26w,1W,-2,0.15518612979395777,0.15684631977082078,799,gold_or_later_mm_alignment_2w_positive_historical_alignment
mm_velocity_26w,1W,0,0.13588843947712395,0.14152358967094456,799,same_week_positive_historical_alignment
mm_velocity_26w,1W,2,-0.004504345597620702,-0.021462484275476357,797,weak_or_no_clear_historical_relationship
mm_velocity_26w,1W,4,0.00929163943618934,-0.019349840080960242,795,weak_or_no_clear_historical_relationship
