factor,sample_split,gold_regime,forward_horizon,percentile_bucket,count,avg_forward_return,median_forward_return,win_rate,max_drawdown_after_signal
mm_net_percentile_156w,all,all,1W,0-10 percentile,166,0.0012590751373795566,0.00192476446380907,0.5542168674698795,-0.12570918451764834
mm_net_percentile_156w,all,all,1W,10-20 percentile,70,0.0013197526479033226,0.0024451901813128396,0.5857142857142857,-0.04462030767173264
mm_net_percentile_156w,all,all,1W,20-30 percentile,83,0.004542971816011791,0.00383313944816166,0.5903614457831325,-0.043731033667568364
mm_net_percentile_156w,all,all,1W,30-40 percentile,76,-0.0007783500835874199,0.0019267308200754396,0.5526315789473685,-0.12031597586732656
mm_net_percentile_156w,all,all,1W,40-50 percentile,88,-0.0020092895211596394,-0.0015343897376715043,0.45454545454545453,-0.06468940995295891
mm_net_percentile_156w,all,all,1W,50-60 percentile,62,0.005316852863781397,0.005716023756195621,0.6290322580645161,-0.05622979951011842
mm_net_percentile_156w,all,all,1W,60-70 percentile,62,0.00390072377421468,0.001464901771903504,0.5161290322580645,-0.05470318951103592
mm_net_percentile_156w,all,all,1W,70-80 percentile,46,0.004238995389831608,0.006608865484028059,0.5869565217391305,-0.03781828685219857
mm_net_percentile_156w,all,all,1W,80-90 percentile,59,-0.000986376283599271,0.0015081819145017494,0.5423728813559322,-0.0808871997749745
mm_net_percentile_156w,all,all,1W,90-100 percentile,110,0.003198335850311862,0.0029711982038829188,0.5454545454545454,-0.05119879076312228
mm_net_percentile_156w,all,all,2W,0-10 percentile,166,0.0015315354379818417,0.0033583429000330067,0.5301204819277109,-0.12570918451764834
mm_net_percentile_156w,all,all,2W,10-20 percentile,70,0.007501062535471249,0.005769930116847233,0.6142857142857143,-0.05349203288269
mm_net_percentile_156w,all,all,2W,20-30 percentile,82,0.004574009019542205,0.008320890543865311,0.5975609756097561,-0.15878546754349454
mm_net_percentile_156w,all,all,2W,30-40 percentile,76,-0.001500350193333894,0.0006857783615683566,0.5131578947368421,-0.12031597586732656
mm_net_percentile_156w,all,all,2W,40-50 percentile,88,-0.0011543630594861285,-0.0037406974534593407,0.4318181818181818,-0.06468940995295891
mm_net_percentile_156w,all,all,2W,50-60 percentile,62,0.009274179274932263,0.009230389051470778,0.6129032258064516,-0.06125140330543344
mm_net_percentile_156w,all,all,2W,60-70 percentile,62,0.009530252138614059,0.004196816474401066,0.5967741935483871,-0.0585265554840122
mm_net_percentile_156w,all,all,2W,70-80 percentile,46,0.004573283679577773,0.0011294270214763369,0.5217391304347826,-0.05470318951103592
mm_net_percentile_156w,all,all,2W,80-90 percentile,59,-0.00037818182684974503,8.126114116047134e-05,0.5084745762711864,-0.0808871997749745
mm_net_percentile_156w,all,all,2W,90-100 percentile,110,0.0061920730051982925,0.00472874120297917,0.5454545454545454,-0.060829326789522464
mm_net_percentile_156w,all,all,4W,0-10 percentile,166,0.003104521145604787,0.003649230703739126,0.5602409638554217,-0.13932848829941735
mm_net_percentile_156w,all,all,4W,10-20 percentile,70,0.015109473012101162,0.0202364076381899,0.6428571428571429,-0.07050355809102715
mm_net_percentile_156w,all,all,4W,20-30 percentile,81,0.0040264547845336755,0.004398988291761441,0.5185185185185185,-0.15878546754349454
mm_net_percentile_156w,all,all,4W,30-40 percentile,75,0.0016959093268980486,5.341717634199661e-05,0.5066666666666667,-0.12031597586732656
mm_net_percentile_156w,all,all,4W,40-50 percentile,88,8.88476220550809e-05,-0.002690178583757641,0.48863636363636365,-0.13647792390513236
mm_net_percentile_156w,all,all,4W,50-60 percentile,62,0.018308606065889292,0.006248191604873665,0.5483870967741935,-0.06838595586243945
mm_net_percentile_156w,all,all,4W,60-70 percentile,62,0.010544613122300869,0.006223425233960134,0.5645161290322581,-0.07623094128024188
mm_net_percentile_156w,all,all,4W,70-80 percentile,46,0.009555690776332573,0.0014140447710548343,0.5,-0.0656482246077622
mm_net_percentile_156w,all,all,4W,80-90 percentile,59,0.006801641745853325,0.003373819163292824,0.5254237288135594,-0.09278442175562396
mm_net_percentile_156w,all,all,4W,90-100 percentile,110,0.011701517463383795,0.009947831917317962,0.6363636363636364,-0.0808871997749745
mm_net_percentile_156w,all,all,8W,0-10 percentile,166,0.01048799603725975,0.006524073581371748,0.5421686746987951,-0.14175294990618525
mm_net_percentile_156w,all,all,8W,10-20 percentile,70,0.009260590101191906,-0.004439244091265782,0.4714285714285714,-0.11354541285035735
mm_net_percentile_156w,all,all,8W,20-30 percentile,77,0.005064273838972905,0.0006240630484595222,0.5194805194805194,-0.15878546754349454
mm_net_percentile_156w,all,all,8W,30-40 percentile,75,0.011834293254776602,-0.0009561030213020016,0.4666666666666667,-0.13647792390513236
mm_net_percentile_156w,all,all,8W,40-50 percentile,88,0.010136087526531152,-0.008319407721332162,0.45454545454545453,-0.15878546754349454
mm_net_percentile_156w,all,all,8W,50-60 percentile,62,0.021090494522724886,0.023936279388756643,0.5806451612903226,-0.13647792390513236
mm_net_percentile_156w,all,all,8W,60-70 percentile,62,0.02454223920899502,0.011232545363606405,0.6129032258064516,-0.13647792390513236
mm_net_percentile_156w,all,all,8W,70-80 percentile,46,0.018455755735524115,0.011242271864075004,0.5434782608695652,-0.1204135739072435
mm_net_percentile_156w,all,all,8W,80-90 percentile,59,0.019985771461627968,0.016695910062737296,0.5932203389830508,-0.1204135739072435
mm_net_percentile_156w,all,all,8W,90-100 percentile,110,0.021909534437595767,0.019214099298079934,0.6363636363636364,-0.11727902345840291
