group,case_count,avg_return_1w,median_return_1w,win_rate_1w,avg_return_2w,median_return_2w,win_rate_2w,avg_return_4w,median_return_4w,win_rate_4w,avg_return_8w,median_return_8w,win_rate_8w,best_return_8w,worst_return_8w
Top 5,5,-0.006489504792597245,-0.009456617852019011,0.2,-0.009779966058749912,-0.01439631595205415,0.2,0.002009282296049464,0.001091406690184149,0.6,-0.0016183127634547434,-0.010542013914107473,0.2,0.08040818717004905,-0.051712489612032675
Top 10,10,-0.0026851373041562043,-0.00712392436532705,0.3,-0.002619235897464178,-0.005103444444202965,0.4,0.004873648251960061,0.005972856507305169,0.6,-0.010137294192505631,-0.010819596923762942,0.2,0.08040818717004905,-0.051712489612032675
Top 20,20,-0.00735473729425431,-0.0076677272468353985,0.3,-0.009529726837401909,-0.005103444444202965,0.4,-0.011107193312666897,-0.0022297185747909842,0.45,-0.020963351093863703,-0.023986448640415714,0.25,0.08040818717004905,-0.10414806770093099
