horizon,similar_case_count,avg_forward_return,median_forward_return,win_rate,worst_forward_return,best_forward_return
1W,20,-0.009202396698246778,-0.008596002499224764,0.25,-0.040026373845864605,0.02681960796892735
2W,20,-0.008448093144016955,-0.005103444444202965,0.4,-0.07259206798866857,0.041004592989032806
4W,20,-0.010456084644431086,-0.0022297185747909842,0.45,-0.0892351274787535,0.04371756102735125
8W,20,-0.013886676796951242,-0.013795935915979052,0.35,-0.10414806770093099,0.08133767466457664
