factor,display_name,definition,definition_type,window_weeks,signal_column,forward_horizon,return_column,percentile_bucket,count,avg_forward_return,median_forward_return,win_rate,best_return,worst_return,max_drawdown_after_signal
mm_net,MM Net,52W percentile,percentile,52.0,mm_net_percentile_52w,1W,gold_return_1w,0-10,166,0.0020985841446715093,0.0022180854878649514,0.5542168674698795,0.08432153923414987,-0.12570918451764834,-0.12570918451764834
mm_net,MM Net,52W percentile,percentile,52.0,mm_net_percentile_52w,1W,gold_return_1w,10-20,97,0.001869835831673917,0.0026987948158914143,0.5360824742268041,0.05108125331038127,-0.08635005098425519,-0.08635005098425519
mm_net,MM Net,52W percentile,percentile,52.0,mm_net_percentile_52w,1W,gold_return_1w,20-30,76,0.0009411979284466094,0.002536281792133388,0.5526315789473685,0.08872708019648767,-0.12031597586732656,-0.12031597586732656
mm_net,MM Net,52W percentile,percentile,52.0,mm_net_percentile_52w,1W,gold_return_1w,30-40,57,0.0034430051181589525,0.005206039289523234,0.5964912280701754,0.048918387413962705,-0.05071641191914644,-0.05071641191914644
mm_net,MM Net,52W percentile,percentile,52.0,mm_net_percentile_52w,1W,gold_return_1w,40-50,69,0.005412582427698321,0.004963726613211206,0.6376811594202898,0.05459544383346415,-0.050276545080313984,-0.050276545080313984
mm_net,MM Net,52W percentile,percentile,52.0,mm_net_percentile_52w,1W,gold_return_1w,50-60,53,-0.0027488127025611787,-0.0011352659566263856,0.49056603773584906,0.06333708795450965,-0.06468940995295891,-0.06468940995295891
mm_net,MM Net,52W percentile,percentile,52.0,mm_net_percentile_52w,1W,gold_return_1w,60-70,55,0.001956337092105944,0.002774753420195175,0.6,0.06729552864015265,-0.0808871997749745,-0.0808871997749745
mm_net,MM Net,52W percentile,percentile,52.0,mm_net_percentile_52w,1W,gold_return_1w,70-80,46,0.0029420195179391635,0.005923008494745141,0.6521739130434783,0.03674110804078534,-0.05119879076312228,-0.05119879076312228
mm_net,MM Net,52W percentile,percentile,52.0,mm_net_percentile_52w,1W,gold_return_1w,80-90,65,-0.00035029205770999996,-0.004018232621777917,0.4461538461538462,0.04852944986968155,-0.03252582928082792,-0.03252582928082792
mm_net,MM Net,52W percentile,percentile,52.0,mm_net_percentile_52w,1W,gold_return_1w,90-100,138,0.0018632106562487011,0.001447274167444168,0.5217391304347826,0.05974783733921063,-0.05470318951103592,-0.05470318951103592
mm_net,MM Net,52W percentile,percentile,52.0,mm_net_percentile_52w,2W,gold_return_2w,0-10,166,0.004306455195760253,0.004283124335159205,0.5783132530120482,0.14566775391111086,-0.11954792056152808,-0.12570918451764834
