factor,definition,horizon,train_score,test_score,stability_score,recommended,reason
OI,260W zscore,1W,40.27,41.92,28.77,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 28.8.
OI,52W percentile,2W,87.63,39.24,74.4,True,Top production-eligible score for this factor/horizon; stability score 74.4.
OI,52W zscore,2W,85.79,36.03,72.64,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 72.6.
OI,104W percentile,2W,66.56,46.39,69.53,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 69.5.
OI,Full History percentile,2W,35.29,60.16,63.41,False,"Research benchmark only; full-history ordering uses the whole sample, stability score 63.4."
OI,260W percentile,2W,40.71,40.86,58.55,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 58.5.
OI,104W zscore,2W,63.06,55.25,41.41,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 41.4.
OI,156W zscore,2W,53.51,54.19,37.7,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 37.7.
OI,156W percentile,2W,47.83,46.5,33.01,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 33.0.
OI,260W zscore,2W,41.46,37.36,27.58,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 27.6.
OI,52W percentile,4W,94.12,49.37,80.22,True,Top production-eligible score for this factor/horizon; stability score 80.2.
OI,Full History percentile,4W,47.14,77.54,73.64,False,"Research benchmark only; full-history ordering uses the whole sample, stability score 73.6."
OI,52W zscore,4W,87.43,35.5,73.03,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 73.0.
OI,260W zscore,4W,32.51,43.11,56.47,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 56.5.
OI,104W zscore,4W,58.84,53.8,39.42,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 39.4.
OI,104W percentile,4W,55.58,50.49,37.12,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 37.1.
OI,156W zscore,4W,43.19,50.43,32.77,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 32.8.
OI,260W percentile,4W,36.83,53.42,31.59,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 31.6.
OI,156W percentile,4W,37.31,46.27,29.25,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 29.3.
OI,52W percentile,8W,89.44,68.79,85.38,True,Top production-eligible score for this factor/horizon; stability score 85.4.
OI,52W zscore,8W,85.18,57.55,79.95,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 80.0.
OI,156W zscore,8W,43.83,35.38,57.72,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 57.7.
OI,104W zscore,8W,41.25,35.43,56.84,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 56.8.
OI,Full History percentile,8W,70.45,84.49,54.23,False,"Research benchmark only; full-history ordering uses the whole sample, stability score 54.2."
OI,260W percentile,8W,57.98,89.04,51.46,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 51.5.
OI,260W zscore,8W,58.14,77.96,47.64,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 47.6.
OI,156W percentile,8W,59.89,46.47,37.22,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 37.2.
OI,104W percentile,8W,43.98,43.52,30.63,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 30.6.
Producer,104W percentile,1W,66.34,95.44,86.62,True,Top production-eligible score for this factor/horizon; stability score 86.6.
Producer,52W percentile,1W,71.13,76.77,81.76,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 81.8.
Producer,52W zscore,1W,63.68,72.4,77.63,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 77.6.
